page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     215    76  cmyk    4   8  jpeg   no      2812  0   300   303 11.0K  17%
   5     1 image    1777  1073  cmyk    4   8  jpeg   no        24  0   300   300  609K 8.2%
   6     2 image     780   439  index   1   8  image  no        29  0   125   122  307K  92%
   6     3 smask     780   439  gray    1   8  jpeg   no        29  0   125   122 1868B 0.5%
  11     4 image     780   468  cmyk    4   8  jpeg   no        41  0   113   113  256K  18%
  11     5 smask     780   468  gray    1   8  jpeg   no        41  0   113   113 1980B 0.5%
  12     6 image    1777  1054  cmyk    4   8  jpeg   no        44  0   300   300  565K 7.7%
  14     7 image    1074   884  cmyk    4   8  jpeg   no        59  0   182   183  289K 7.8%
  18     8 image    1769  1334  cmyk    4   8  jpeg   no        69  0   300   300  468K 5.1%
  19     9 image     671   259  cmyk    4   8  image  no        73  0   114    97 31.7K 4.7%
